note_id,anki_level,deck_name,first_study_date,last_review_date,finnish,translation,fields
1399204142011,Young,Finnish::Phrases,2025-06-16 17:51:14,2025-06-17 16:55:57,He puhuvat suomea hyvin huonosti,Они говорят по фински очень плохо,"{""Suomi"": ""He puhuvat suomea hyvin huonosti"", ""Sound"": """", ""Explanation"": """", ""Russian"": ""Они говорят по фински очень плохо"", ""Additional"": ""очень = h.."", ""Image"": """", ""Example"": """"}"
1399204181416,Young,Finnish::Phrases,2025-06-16 17:51:41,2025-06-17 17:14:01,Ahkeruus voittaa kaiken,Усердие побеждает всё,"{""Suomi"": ""Ahkeruus voittaa kaiken"", ""Sound"": """", ""Explanation"": """", ""Russian"": ""Усердие побеждает всё"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1399207747067,Young,Finnish::Phrases,2025-06-17 17:15:37,2025-06-17 17:36:17,Kello on puoli kuusi,Время — половина шестого,"{""Suomi"": ""Kello on puoli kuusi"", ""Sound"": ""[sound:Kello on puoli kuusi.mp3]"", ""Explanation"": """", ""Russian"": ""Время — половина шестого"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1399207758015,Young,Finnish::Phrases,2025-06-17 17:15:51,2025-06-17 17:36:03,Kello on kymmenen vaille kuusi,Время — без десяти шесть,"{""Suomi"": ""Kello on kymmenen vaille kuusi"", ""Sound"": """", ""Explanation"": """", ""Russian"": ""Время — без десяти шесть"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1399207786706,Young,Finnish::Phrases,2025-06-17 17:16:05,2025-06-17 17:35:00,Kello on kymmenen yli kuusi,Время — десять [минут] седьмого,"{""Suomi"": ""Kello on kymmenen yli kuusi"", ""Sound"": """", ""Explanation"": """", ""Russian"": ""Время — десять [минут] седьмого"", ""Additional"": ""Время — десять после шести"", ""Image"": """", ""Example"": """"}"
1399207820060,Young,Finnish::Phrases,2025-06-17 17:16:19,2025-06-17 17:36:07,Kello on tasan kuusi,Время — ровно шесть,"{""Suomi"": ""Kello on tasan kuusi"", ""Sound"": ""[sound:Kello on tasan kuusi.mp3]"", ""Explanation"": """", ""Russian"": ""Время — ровно шесть"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1413471996727,Young,Finnish::Words,2025-06-19 20:48:36,2025-06-22 21:17:42,humalainen,пьяный,"{""Suomi"": ""humalainen"", ""Sound"": ""[sound:humalainen.mp3]"", ""Explanation"": """", ""Russian"": ""пьяный"", ""Additional"": """", ""Image"": ""<img src=\""humalainen.jpg\"" />"", ""Example"": """"}"
1416162861920,Young,Finnish::Words,2025-06-22 21:09:10,2025-06-24 10:15:53,reisi,бедро,"{""Suomi"": ""reisi"", ""Sound"": ""[sound:reisi.mp3]"", ""Explanation"": """", ""Russian"": ""бедро"", ""Additional"": """", ""Image"": ""<img src=\""reisi.jpg\"">"", ""Example"": """"}"
1418471664190,Relearning,Finnish::Words,2025-06-17 08:58:17,2025-07-03 09:27:06,tölkki,"банка, консервная банка","{""Suomi"": ""tölkki"", ""Sound"": ""[sound:tölkki.mp3]"", ""Explanation"": """", ""Russian"": ""банка, консервная банка"", ""Additional"": """", ""Image"": ""<img src=\""tölkki.jpg\"">"", ""Example"": """"}"
1419178041871,Young,Finnish::Words,2025-06-17 12:13:21,2025-06-19 20:48:23,päättää,"решать, решить","{""Suomi"": ""päättää"", ""Sound"": ""[sound:päättää.mp3]"", ""Explanation"": """", ""Russian"": ""решать, решить"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
