note_id,anki_level,deck_name,first_study_date,last_review_date,finnish,translation,fields
1412712034196,Learning,Finnish::Words,2025-07-07 08:58:19,2025-07-15 09:26:38,luotettava,"надежный, верный","{""Suomi"": ""luotettava"", ""Sound"": ""[sound:luotettava.mp3]"", ""Explanation"": """", ""Translate"": ""надежный, верный"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1413471996727,Young,Finnish::Words,2025-06-19 20:48:36,2025-07-06 10:41:28,humalainen,пьяный,"{""Suomi"": ""humalainen"", ""Sound"": ""[sound:humalainen.mp3]"", ""Explanation"": """", ""Translate"": ""пьяный"", ""Additional"": """", ""Image"": ""<img src=\""humalainen.jpg\"">"", ""Example"": """"}"
1416162861920,Young,Finnish::Words,2025-06-22 21:09:10,2025-07-08 08:55:49,reisi,бедро,"{""Suomi"": ""reisi"", ""Sound"": ""[sound:reisi.mp3]"", ""Explanation"": """", ""Translate"": ""бедро"", ""Additional"": """", ""Image"": ""<img src=\""reisi.jpg\"">"", ""Example"": """"}"
1418471664190,Young,Finnish::Words,2025-06-17 08:58:17,2025-07-06 10:37:51,tölkki,"банка, консервная банка","{""Suomi"": ""tölkki"", ""Sound"": ""[sound:tölkki.mp3]"", ""Explanation"": """", ""Translate"": ""банка, консервная банка"", ""Additional"": """", ""Image"": ""<img src=\""tölkki.jpg\"">"", ""Example"": """"}"
1419178041871,Young,Finnish::Words,2025-06-17 12:13:21,2025-07-06 10:34:44,päättää,"решать, решить","{""Suomi"": ""päättää"", ""Sound"": ""[sound:päättää.mp3]"", ""Explanation"": """", ""Translate"": ""решать, решить"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1424205804573,Young,Finnish::Words,2025-06-17 09:00:13,2025-07-06 10:38:30,tuhota,разгромить,"{""Suomi"": ""tuhota"", ""Sound"": ""[sound:tuhota.mp3]"", ""Explanation"": """", ""Translate"": ""разгромить"", ""Additional"": """", ""Image"": ""<img src=\""tuhota.gif\"" />"", ""Example"": """"}"
1424206536668,Young,Finnish::Words,2025-06-17 09:00:47,2025-07-07 16:55:44,haastaa,бросать вызов,"{""Suomi"": ""haastaa"", ""Sound"": ""[sound:haastaa.mp3]"", ""Explanation"": """", ""Translate"": ""бросать вызов"", ""Additional"": ""..."", ""Image"": """", ""Example"": """"}"
1428053031967,Young,Finnish::Words,2025-06-18 14:04:52,2025-07-05 10:47:27,penkoa,"рыться, искать, разузнавать, обыскивать","{""Suomi"": ""penkoa"", ""Sound"": """", ""Explanation"": ""<strong>to rummage</strong>, <strong>to dig through</strong>, or <strong>to search through messily</strong>"", ""Translate"": ""рыться, искать, разузнавать, обыскивать"", ""Additional"": """", ""Image"": """", ""Example"": ""Penkoa vaatekaappia (To rummage through a wardrobe)""}"
1428728703215,Young,Finnish::Words,2025-06-16 17:39:15,2025-07-06 10:33:50,muoto,"форма, вид, состояние","{""Suomi"": ""muoto"", ""Sound"": ""[sound:muoto.mp3]"", ""Explanation"": """", ""Translate"": ""форма, вид, состояние"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1429469501807,Young,Finnish::Words,2025-06-16 17:32:28,2025-06-22 21:07:17,keikka,"музыкальное представление, выступление, концерт","{""Suomi"": ""keikka"", ""Sound"": ""[sound:keikka.mp3]"", ""Explanation"": """", ""Translate"": ""музыкальное представление, выступление, концерт"", ""Additional"": ""в клубе, рок-концерт, не классический концерт"", ""Image"": """", ""Example"": """"}"
1433268896639,Young,Finnish::Words,2025-06-17 08:58:39,2025-07-05 10:48:42,upota,тонуть,"{""Suomi"": ""upota"", ""Sound"": ""[sound:upota.mp3]"", ""Explanation"": """", ""Translate"": ""тонуть"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1436380042994,Young,Finnish::Words,2025-06-16 17:32:34,2025-07-06 10:31:55,puskuri,бампер,"{""Suomi"": ""puskuri"", ""Sound"": ""[sound:puskuri.mp3]"", ""Explanation"": """", ""Translate"": ""бампер"", ""Additional"": """", ""Image"": ""<img src=\""puskuri.jpg\"">"", ""Example"": """"}"
1436706106406,Young,Finnish::Words,2025-06-17 09:01:00,2025-07-09 18:39:05,sivuuttaa,"пренебрегать, игнорировать","{""Suomi"": ""sivuuttaa"", ""Sound"": ""[sound:sivuuttaa.mp3]"", ""Explanation"": """", ""Translate"": ""пренебрегать, игнорировать"", ""Additional"": """", ""Image"": ""<img src=\""sivuuttaa.jpg\"" />"", ""Example"": """"}"
1441132596134,Young,Finnish::Words,2025-06-18 16:46:45,2025-07-06 10:38:42,ulkoiluttaa,выгуливать,"{""Suomi"": ""ulkoiluttaa"", ""Sound"": ""[sound:ulkoiluttaa.mp3]"", ""Explanation"": ""ulko (outside) + ilma (weather) + uttaa (make someone do something)"", ""Translate"": ""выгуливать"", ""Additional"": """", ""Image"": ""<img src=\""ulkoiluttaa.jpg\"">"", ""Example"": ""Minun täytyy ulkoiluttaa koira ennen töitä""}"
1441728538896,Mature,Finnish::Words,2025-06-17 08:55:56,2025-07-05 10:38:28,muodikas,модный,"{""Suomi"": ""muodikas"", ""Sound"": ""[sound:muodikas.mp3]"", ""Explanation"": """", ""Translate"": ""модный"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1442134792329,Young,Finnish::Words,2025-07-04 09:31:05,2025-07-09 18:39:15,vintti,чердак,"{""Suomi"": ""vintti"", ""Sound"": ""[sound:vintti.mp3]"", ""Explanation"": """", ""Translate"": ""чердак"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1445765611707,Young,Finnish::Words,2025-06-16 17:33:16,2025-07-06 10:34:36,noutaa,"забрать, принести","{""Suomi"": ""noutaa"", ""Sound"": ""[sound:noutaa.mp3]"", ""Explanation"": """", ""Translate"": ""забрать, принести"", ""Additional"": """", ""Image"": """", ""Example"": ""Linia-auto noutaa meidät asemalle""}"
1447607880048,Young,Finnish::Words,2025-06-16 17:38:59,2025-07-08 08:52:17,valua,"лить, течь, катиться","{""Suomi"": ""valua"", ""Sound"": ""[sound:valua.mp3]"", ""Explanation"": """", ""Translate"": ""лить, течь, катиться"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1447620265602,Young,Finnish::Words,2025-06-16 17:41:08,2025-07-06 10:38:59,huokea,"дешевый, недорогой, доступный (inexpensive)","{""Suomi"": ""huokea"", ""Sound"": ""[sound:huokea.mp3]"", ""Explanation"": ""<ul><li>\n<div>Often used in advertisements or positive descriptions.</div></li><li><div>Implies the price is <b>affordable</b> or <b>reasonable</b>, without sounding “cheap”.</div></li></ul>"", ""Translate"": ""дешевый, недорогой, доступный (inexpensive)"", ""Additional"": """", ""Image"": """", ""Example"": ""Huokea vuokra. Huokeaan hintaan""}"
1447962361790,Young,Finnish::Words,2025-06-16 17:41:15,2025-07-05 10:48:20,säkki,мешок,"{""Suomi"": ""säkki"", ""Sound"": ""[sound:säkki.mp3]"", ""Explanation"": """", ""Translate"": ""мешок"", ""Additional"": """", ""Image"": ""<img src=\""säkki.png\"" />"", ""Example"": """"}"
1451939143543,Young,Finnish::Words,2025-07-03 09:35:49,2025-07-06 10:31:48,edustaa,представлять,"{""Suomi"": ""edustaa"", ""Sound"": ""[sound:edustaa.mp3]"", ""Explanation"": """", ""Translate"": ""представлять"", ""Additional"": ""выступать от лица (представлять фирму), представлять нового человека, edu.."", ""Image"": ""<img src=\""edustaa.jpg\"" />"", ""Example"": ""<div>Hän edustaa minua kokouksessa.<br />Hän edustaa yritystämme hyvin.</div>""}"
1452800642336,Young,Finnish::Words,2025-06-17 08:56:17,2025-07-05 10:39:58,heilua,"трястись, шататься, качаться","{""Suomi"": ""heilua"", ""Sound"": ""[sound:heilua.mp3]"", ""Explanation"": """", ""Translate"": ""трястись, шататься, качаться"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1453149489099,Learning,Finnish::Words,2025-07-07 08:58:36,2025-07-15 09:27:39,laitos,"редакция, служба","{""Suomi"": ""laitos"", ""Sound"": ""[sound:laitos.mp3]"", ""Explanation"": """", ""Translate"": ""редакция, служба"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
1453670714463,Young,Finnish::Words,2025-06-19 20:46:24,2025-07-06 10:29:56,kyyti,подвоз,"{""Suomi"": ""kyyti"", ""Sound"": ""[sound:kyyti.mp3]"", ""Explanation"": """", ""Translate"": ""подвоз"", ""Additional"": """", ""Image"": """", ""Example"": """"}"
